Date,Close/Last,Volume,Open,High,Low
12/10/2021,$44.1,1879521,$46.88,$48,$43.605
12/09/2021,$45.86,1880677,$49.55,$50.97,$44.585
12/08/2021,$49.98,1793062,$48.7,$51.54,$46.7
12/07/2021,$47.65,2186104,$45.7,$49.8,$44.94
12/06/2021,$43.96,1784662,$44.65,$45.43,$42.2
12/03/2021,$45.85,2977186,$49.13,$49.8999,$43.49
12/02/2021,$48.35,1814021,$48.66,$50.8349,$47.39
12/01/2021,$48.79,2466857,$53.65,$53.72,$48.0716
11/30/2021,$53.49,2181966,$54.59,$55.89,$49.62
11/29/2021,$54.62,1718276,$57.36,$58.63,$54.13
11/26/2021,$55.96,1948086,$55.1,$61.7093,$55.09
11/24/2021,$58.05,3566425,$51.95,$58.58,$51.22
11/23/2021,$52.57,2596392,$51.5,$53.2484,$49.54
11/22/2021,$52.77,3714642,$53.49,$55.45,$50.81
11/19/2021,$53.19,6216871,$48.94,$55.8199,$48.7
11/18/2021,$48.44,6761587,$48.49,$51.42,$46.3
11/17/2021,$47.07,12756200,$49.105,$53.96,$45.51
11/16/2021,$61.69,3033357,$60.39,$63.8,$57.78
11/15/2021,$60.51,5971554,$65.95,$66.72,$58.44
11/12/2021,$68.8,2487611,$72.6,$73.4999,$67.8
11/11/2021,$72.43,2582679,$72.968,$75.75,$71.19
11/10/2021,$69.4,5307706,$74.29,$77.3699,$68.161
11/09/2021,$78.41,4662210,$87,$87.99,$78.0504
11/08/2021,$89.49,5652983,$93.11,$95.53,$85.51
11/05/2021,$90.91,15007650,$82.81,$94,$82.55
11/04/2021,$84.4,38935320,$69,$100,$62.1
11/03/2021,$56.66,13808260,$52.05,$62.75,$51.1995
11/02/2021,$58.07,28326820,$46.04,$69.2799,$44.21
11/01/2021,$46.11,3529831,$43.22,$47.68,$42.1801
10/29/2021,$43.13,2051945,$44.93,$45.2,$42.97
10/28/2021,$44.46,2166028,$44.91,$46.023,$43.72
10/27/2021,$44.61,2312902,$46.61,$48.61,$44.49
10/26/2021,$47.17,2127691,$47.7,$49.2,$46.72
10/25/2021,$47.81,3221611,$45.62,$49.55,$45.39
10/22/2021,$45.71,2317094,$45.743,$46.695,$44.11
10/21/2021,$46.56,3552540,$46.6,$47.7099,$44.65
10/20/2021,$46.39,4042528,$47.5,$48.8,$45.53
10/19/2021,$47.5,3738049,$50.08,$51.35,$47.23
10/18/2021,$50.16,3349173,$49.99,$52.64,$49.16
10/15/2021,$49.69,3747611,$54,$54,$49.6
10/14/2021,$53.37,3587642,$53.09,$57.2,$52.25
10/13/2021,$54.99,3675819,$52.41,$56.5896,$50.55
10/12/2021,$51.88,2114385,$51.31,$52.51,$50.11
10/11/2021,$51.08,3837670,$51.19,$52.12,$47.77
10/08/2021,$51.49,2233114,$53.52,$54.77,$51.12
10/07/2021,$53.62,3944417,$52.94,$54.56,$50.2
10/06/2021,$52.51,6089926,$56.88,$59.98,$52.12
10/05/2021,$57.17,3384442,$54.955,$57.47,$54.74
10/04/2021,$54.31,4186199,$59.41,$61.6699,$54.24
10/01/2021,$60.52,4201796,$61.45,$61.93,$56.64
09/30/2021,$62.08,4282230,$63,$63.5189,$60.04
09/29/2021,$62.14,6901199,$66,$67.58,$60.06
09/28/2021,$64.99,8770718,$65.54,$67.88,$61.68
09/27/2021,$68.53,10963390,$62.14,$70.28,$61.9
09/24/2021,$61.94,14913750,$59.4,$66.68,$58.15
09/23/2021,$60.12,16462470,$50.37,$62.67,$50.331
09/22/2021,$52.31,23735630,$59.03,$60.6,$48.83
09/21/2021,$52.86,5786531,$48.1,$52.99,$47.29
09/20/2021,$48.26,4070027,$45.94,$48.98,$45.68
09/17/2021,$48.51,6059526,$43.967,$48.76,$43.11
09/16/2021,$43.95,4409292,$43.39,$45.43,$41.38
09/15/2021,$43.92,6623981,$39.76,$45.51,$39.01
09/14/2021,$41.79,7942263,$46.96,$47,$41.5
09/13/2021,$47.12,5662976,$50.5,$50.67,$46.51
09/10/2021,$50.64,5826981,$50.3198,$52.66,$49.0679
09/09/2021,$49.72,8566226,$47.004,$51.19,$46.55
09/08/2021,$46.49,6669245,$48.09,$48.52,$44.57
09/07/2021,$47.84,7857612,$47.3,$50.71,$46.8922
09/03/2021,$50.2,27782480,$58.51,$58.77,$46.58
09/02/2021,$54.35,6324903,$52.29,$54.85,$52.29
09/01/2021,$51.96,9242007,$53.13,$54.98,$51.321
08/31/2021,$56.85,13645870,$53.64,$62.07,$53.2008
08/30/2021,$53.26,15515360,$52.93,$56.9489,$50.63
08/27/2021,$58.34,43954530,$51.24,$65.09,$49.29
08/26/2021,$70.85,25023090,$84.01,$86.36,$67.6
08/25/2021,$80.86,29062650,$83.47,$96.6297,$78.51
08/24/2021,$117.83,5134756,$122.41,$123.37,$115.53
08/23/2021,$115.61,3372599,$104.99,$116.87,$103.2
08/20/2021,$104.06,3043144,$102.04,$107.1982,$99.5601
08/19/2021,$101.23,2779564,$106,$107.0399,$99.04
08/18/2021,$106.17,3561842,$102.3085,$113.89,$102.1731
08/17/2021,$104.62,5446191,$111.2,$116.35,$97.928
08/16/2021,$116.67,3470148,$122.57,$124.79,$113.3
08/13/2021,$122.57,3670563,$123.3751,$124.8,$116.1627
08/12/2021,$120.3,6776580,$109.96,$126.51,$108.3255
08/11/2021,$108.97,2924698,$108.76,$110.78,$103.6935
08/10/2021,$108.62,3445461,$104,$109.88,$101.1
08/09/2021,$104.99,3978083,$94.901,$106.35,$94.6
08/06/2021,$96.41,4287955,$100.51,$101.59,$92.71
08/05/2021,$101.59,5699781,$90.41,$101.97,$89.85
08/04/2021,$88.26,4290908,$81.633,$90.25,$80.68
08/03/2021,$84.86,10309500,$86.75,$93.63,$82.09
08/02/2021,$79.98,13300520,$77.2,$87,$75
07/30/2021,$69.53,25199600,$87.85,$95.15,$65
07/29/2021,$103.35,20550410,$145,$146.16,$98.35
07/28/2021,$135.3,5763360,$130.008,$142.75,$126.03
07/27/2021,$127.5,3627371,$119.56,$128.2232,$113.7
07/26/2021,$119.99,4193562,$125.63,$132.96,$114.51
07/23/2021,$123.38,3664805,$124.5,$126.69,$113
07/22/2021,$126.61,7306824,$118.1,$130.4654,$112.7176
07/21/2021,$117.6,9271238,$94.3,$120.75,$94.3
07/20/2021,$90.83,2833774,$86.2805,$91.4899,$80.5749
07/19/2021,$82.26,2922851,$73.44,$85.41,$72.8
07/16/2021,$80.09,2555323,$86.19,$88.1199,$77.94
07/15/2021,$82.43,3814556,$93.51,$95.755,$81.52
07/14/2021,$97,1881780,$105.6767,$105.6767,$96.6
07/13/2021,$103.8,2172939,$99.37,$106.29,$99.22
07/12/2021,$99.32,2912558,$100.145,$106.39,$97.61
07/09/2021,$95.34,7253480,$107.5529,$113.2699,$92
07/08/2021,$106,3942578,$92.89,$107.55,$90.54
07/07/2021,$96.76,2777499,$96.03,$98.7,$92.11
07/06/2021,$92.8,1850425,$89.8762,$93.7643,$87.401
